seed,initialization_strategy,architecture,target,operator_family,training_rmse,heldout_rmse,hardened_expression,tree_signature,structural_match,selected_routing,failure_type
137,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
138,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
139,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
140,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
141,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
142,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
143,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
144,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
145,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
146,default,eq6,"eml(1,eml(eml(x,y),1)) RL",EML,1.641486e+00,3.923069e+01,"EML Master Formula (depth=3, params=42) |   Internal routing: 1, f, f, f, 1, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y","internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",no,"internal=[1, f, f, f, 1, f] leaves=[1, x, x, 1, x, 1, 1, y]",training_failure
